"DES","ORI","flow","DES_NAME","DES_Y","DES_X","ORI_NAME","ORI_Y","ORI_X"
13013,13195,230,"Barrow",33.99148694,-83.71436292,"Madison",34.12920917,-83.21218732
13013,13217,161,"Barrow",33.99148694,-83.71436292,"Newton",33.55514538,-83.8454714
13013,13219,546,"Barrow",33.99148694,-83.71436292,"Oconee",33.83749973,-83.43679568
13013,13221,118,"Barrow",33.99148694,-83.71436292,"Oglethorpe",33.8786296,-83.08278123
13013,13247,130,"Barrow",33.99148694,-83.71436292,"Rockdale",33.65145002,-84.02202167
13013,13297,1234,"Barrow",33.99148694,-83.71436292,"Walton",33.78017694,-83.73552314
13015,13013,102,"Bartow",34.23732119,-84.83887523,"Barrow",33.99148694,-83.71436292
13015,13015,14143,"Bartow",34.23732119,-84.83887523,"Bartow",34.23732119,-84.83887523
13015,13021,131,"Bartow",34.23732119,-84.83887523,"Bibb",32.80904227,-83.70489165
13015,13045,307,"Bartow",34.23732119,-84.83887523,"Carroll",33.58138199,-85.07976677
13015,13047,173,"Bartow",34.23732119,-84.83887523,"Catoosa",34.89872298,-85.13757014
13015,13055,188,"Bartow",34.23732119,-84.83887523,"Chattooga",34.47197698,-85.34535662
13015,13057,1697,"Bartow",34.23732119,-84.83887523,"Cherokee",34.24393976,-84.47431861
13015,13063,271,"Bartow",34.23732119,-84.83887523,"Clayton",33.54187245,-84.35594188
13015,13067,2972,"Bartow",34.23732119,-84.83887523,"Cobb",33.94243204,-84.5761255
13015,13077,104,"Bartow",34.23732119,-84.83887523,"Coweta",33.35334302,-84.76129976
13015,13089,614,"Bartow",34.23732119,-84.83887523,"DeKalb",33.76944049,-84.22396017
13015,13097,342,"Bartow",34.23732119,-84.83887523,"Douglas",33.70291126,-84.77026156
13015,13113,106,"Bartow",34.23732119,-84.83887523,"Fayette",33.41357794,-84.49089434
13015,13115,2009,"Bartow",34.23732119,-84.83887523,"Floyd",34.26268279,-85.21577392
13015,13117,506,"Bartow",34.23732119,-84.83887523,"Forsyth",34.22604035,-84.1231513
13015,13121,757,"Bartow",34.23732119,-84.83887523,"Fulton",33.79216944,-84.46319413
13015,13129,1792,"Bartow",34.23732119,-84.83887523,"Gordon",34.50487351,-84.87296253
13015,13135,907,"Bartow",34.23732119,-84.83887523,"Gwinnett",33.96044201,-84.02137802
13015,13139,182,"Bartow",34.23732119,-84.83887523,"Hall",34.32207823,-83.81896936
13015,13143,151,"Bartow",34.23732119,-84.83887523,"Haralson",33.79602175,-85.21005667
13015,13151,230,"Bartow",34.23732119,-84.83887523,"Henry",33.4533428,-84.1481466
13015,13157,118,"Bartow",34.23732119,-84.83887523,"Jackson",34.13794553,-83.56814788
13015,13213,397,"Bartow",34.23732119,-84.83887523,"Murray",34.78897608,-84.74993177
13015,13215,127,"Bartow",34.23732119,-84.83887523,"Muscogee",32.50931999,-84.87142262
13015,13217,228,"Bartow",34.23732119,-84.83887523,"Newton",33.55514538,-83.8454714
13015,13223,1799,"Bartow",34.23732119,-84.83887523,"Paulding",33.91969522,-84.86848792
13015,13227,233,"Bartow",34.23732119,-84.83887523,"Pickens",34.46589159,-84.46406611
13015,13233,1187,"Bartow",34.23732119,-84.83887523,"Polk",34.00267074,-85.18677781
13015,13245,146,"Bartow",34.23732119,-84.83887523,"Richmond",33.35777107,-82.07026432
13015,13247,228,"Bartow",34.23732119,-84.83887523,"Rockdale",33.65145002,-84.02202167
13015,13295,170,"Bartow",34.23732119,-84.83887523,"Walker",34.73376362,-85.30165174
13015,13297,127,"Bartow",34.23732119,-84.83887523,"Walton",33.78017694,-83.73552314
13015,13313,778,"Bartow",34.23732119,-84.83887523,"Whitfield",34.80987459,-84.96093476
13017,13017,2641,"Ben Hill",31.76095874,-83.22145359,"Ben Hill",31.76095874,-83.22145359
13017,13069,209,"Ben Hill",31.76095874,-83.22145359,"Coffee",31.54892966,-82.8549206
13017,13155,584,"Ben Hill",31.76095874,-83.22145359,"Irwin",31.60213036,-83.27501387
13017,13277,225,"Ben Hill",31.76095874,-83.22145359,"Tift",31.45743864,-83.5236119
13017,13299,102,"Ben Hill",31.76095874,-83.22145359,"Ware",31.05449097,-82.42224148
13017,13315,196,"Ben Hill",31.76095874,-83.22145359,"Wilcox",31.97496928,-83.43438555
13019,13019,2075,"Berrien",31.27590016,-83.2252992,"Berrien",31.27590016,-83.2252992
13019,13075,300,"Berrien",31.27590016,-83.2252992,"Cook",31.16068491,-83.42947229
13019,13173,114,"Berrien",31.27590016,-83.2252992,"Lanier",31.0382857,-83.06472457
13019,13185,304,"Berrien",31.27590016,-83.2252992,"Lowndes",30.83568832,-83.27056716
13019,13277,122,"Berrien",31.27590016,-83.2252992,"Tift",31.45743864,-83.5236119
13021,13009,1289,"Bibb",32.80904227,-83.70489165,"Baldwin",33.06882326,-83.24701748
13021,13013,153,"Bibb",32.80904227,-83.70489165,"Barrow",33.99148694,-83.71436292
13021,13015,202,"Bibb",32.80904227,-83.70489165,"Bartow",34.23732119,-84.83887523
13021,13021,33096,"Bibb",32.80904227,-83.70489165,"Bibb",32.80904227,-83.70489165
13021,13023,253,"Bibb",32.80904227,-83.70489165,"Bleckley",32.43829035,-83.33035166
13021,13031,193,"Bibb",32.80904227,-83.70489165,"Bulloch",32.39577406,-81.74811421
13021,13035,287,"Bibb",32.80904227,-83.70489165,"Butts",33.2830945,-83.9543504
13021,13039,106,"Bibb",32.80904227,-83.70489165,"Camden",30.92951916,-81.66601818
13021,13045,223,"Bibb",32.80904227,-83.70489165,"Carroll",33.58138199,-85.07976677
13021,13051,581,"Bibb",32.80904227,-83.70489165,"Chatham",32.00043026,-81.12489526
13021,13057,325,"Bibb",32.80904227,-83.70489165,"Cherokee",34.24393976,-84.47431861
13021,13059,207,"Bibb",32.80904227,-83.70489165,"Clarke",33.95436462,-83.37124007
13021,13063,721,"Bibb",32.80904227,-83.70489165,"Clayton",33.54187245,-84.35594188
13021,13067,973,"Bibb",32.80904227,-83.70489165,"Cobb",33.94243204,-84.5761255
13021,13069,123,"Bibb",32.80904227,-83.70489165,"Coffee",31.54892966,-82.8549206
13021,13071,120,"Bibb",32.80904227,-83.70489165,"Colquitt",31.18810588,-83.7677946
13021,13073,414,"Bibb",32.80904227,-83.70489165,"Columbia",33.54534185,-82.263524
13021,13077,302,"Bibb",32.80904227,-83.70489165,"Coweta",33.35334302,-84.76129976
13021,13079,1377,"Bibb",32.80904227,-83.70489165,"Crawford",32.71391813,-83.98061238
13021,13081,293,"Bibb",32.80904227,-83.70489165,"Crisp",31.92289565,-83.76811843
13021,13089,1146,"Bibb",32.80904227,-83.70489165,"DeKalb",33.76944049,-84.22396017
13021,13091,240,"Bibb",32.80904227,-83.70489165,"Dodge",32.17265114,-83.16948926
13021,13093,180,"Bibb",32.80904227,-83.70489165,"Dooly",32.15630737,-83.79746561
13021,13095,440,"Bibb",32.80904227,-83.70489165,"Dougherty",31.53328528,-84.21722377
13021,13097,281,"Bibb",32.80904227,-83.70489165,"Douglas",33.70291126,-84.77026156
13021,13103,113,"Bibb",32.80904227,-83.70489165,"Effingham",32.36616021,-81.34280942
